wait_type,waiting_tasks_count,wait_time_ms,max_wait_time_ms,signal_wait_time_ms
---------,-------------------,------------,----------------,-------------------
SOS_WORK_DISPATCHER,23380943,1946984772,7833823,548118
SLEEP_TASK,208163,137510791,4417853,7773
BROKER_TASK_STOP,14749,100025997,3637450,1398
LOGMGR_QUEUE,447674,75623451,3628392,2110
CLR_AUTO_EVENT,1953,75617248,19012217,520
DISPATCHER_QUEUE_SEMAPHORE,616,40301739,3687145,572
XE_DISPATCHER_WAIT,515,38312433,3636985,0
XE_TIMER_EVENT,8143,37813238,3632479,37796555
HADR_FILESTREAM_IOMGR_IOCOMPLETION,60009,37812466,3628781,3215
SQLTRACE_INCREMENTAL_FLUSH_SLEEP,7625,37811995,3632257,156
DIRTY_PAGE_POLL,278588,37811740,3628359,1457
REQUEST_FOR_DEADLOCK_SEARCH,6102,37807067,3633263,37807067
LAZYWRITER_SLEEP,103770,37804468,3628978,7982
CHECKPOINT_QUEUE,234,37757235,5257759,78
QDS_PERSIST_TASK_MAIN_LOOP_SLEEP,511,37753480,3637412,45
ONDEMAND_TASK_QUEUE,7450576,37739884,19011788,155090
PWAIT_EXTENSIBILITY_CLEANUP_TASK,103,37616432,3928257,37616432
SP_SERVER_DIAGNOSTICS_SLEEP,3380,37556423,3928265,37556423
BROKER_TO_FLUSH,14822,18907106,3628774,506
PREEMPTIVE_XE_DISPATCHER,8,15582414,7318801,0
AZURE_IMDS_VERSIONS,1,21195,21195,0
PAGEIOLATCH_SH,24317,19029,152,384
THREADPOOL,6269,11517,191,0
PREEMPTIVE_XE_CALLBACKEXECUTE,7525224,7808,16,0
MEMORY_ALLOCATION_EXT,2684760,5941,423,0
LCK_M_S,29,4831,272,12
SOS_PROCESS_AFFINITY_MUTEX,12013,3668,55,778
PREEMPTIVE_OS_QUERYREGISTRY,20727,3056,55,0
PREEMPTIVE_XE_GETTARGETSTATE,938,3014,95,0
PWAIT_ALL_COMPONENTS_INITIALIZED,3,2869,965,0
PREEMPTIVE_OS_FILEOPS,604,2283,14,0
CMEMTHREAD,1210,1808,423,117
XE_BUFFERMGR_ALLPROCESSED_EVENT,148,1379,58,3
SOS_SCHEDULER_YIELD,10401,1338,81,1263
WRITELOG,1014,935,195,86
IO_COMPLETION,325,916,27,4
SLEEP_DBSTARTUP,7,630,113,0
PREEMPTIVE_OS_WRITEFILE,21,508,63,0
CHKPT,1,462,462,0
SLEEP_SYSTEMTASK,1,462,462,0
ASYNC_NETWORK_IO,381,455,24,7
PREEMPTIVE_OS_CRYPTOPS,11,330,316,0
ASYNC_IO_COMPLETION,2,295,184,0
PREEMPTIVE_OS_AUTHENTICATIONOPS,560,282,63,0
SLEEP_DCOMSTARTUP,1,246,246,0
WAIT_ON_SYNC_STATISTICS_REFRESH,142,201,21,0
PREEMPTIVE_OS_WRITEFILEGATHER,22,189,21,0
MSQL_XP,44,172,86,0
SLEEP_PHYSMASTERDBREADY,1,170,170,0
WAIT_XTP_HOST_WAIT,3,167,84,0
SLEEP_BUFFERPOOL_HELPLW,106,153,8,153
PREEMPTIVE_OS_LOADLIBRARY,3,139,124,0
STARTUP_DEPENDENCY_MANAGER,2,137,101,0
PREEMPTIVE_OS_VERIFYTRUST,4,117,54,0
SLEEP_MASTERDBREADY,1,115,115,0
PAGELATCH_SH,201,110,55,4
RESOURCE_SEMAPHORE_QUERY_COMPILE,1,101,101,0
SLEEP_BPOOL_STEAL,5,85,19,16
PREEMPTIVE_OS_CREATEFILE,157,73,7,0
PREEMPTIVE_OS_CLOSEHANDLE,337,68,12,0
PREEMPTIVE_OS_REPORTEVENT,98,68,26,0
PAGEIOLATCH_EX,225,57,2,0
PREEMPTIVE_XE_SESSIONCOMMIT,60,55,14,0
WRITE_COMPLETION,125,53,13,0
PREEMPTIVE_OS_GENERICOPS,165,42,5,0
RESERVED_MEMORY_ALLOCATION_EXT,10426,40,33,0
PREEMPTIVE_OS_DELETESECURITYCONTEXT,89,31,2,0
PREEMPTIVE_OS_LOOKUPACCOUNTSID,72,27,2,0
SLEEP_MASTERUPGRADED,2,21,11,0
PAGEIOLATCH_UP,46,18,3,3
PREEMPTIVE_OS_GETFILEATTRIBUTES,134,18,0,0
PAGELATCH_EX,170,17,1,5
BROKER_EVENTHANDLER,13,13,5,3
SECURITY_MUTEX,14,13,1,1
LCK_M_SCH_M,50,11,4,1
PREEMPTIVE_OS_CRYPTACQUIRECONTEXT,25,11,6,0
SECURITY_CNG_PROVIDER_MUTEX,14,11,1,0
PERFORMANCE_COUNTERS_RWLOCK,40,8,2,3
PARALLEL_REDO_WORKER_SYNC,15,7,2,1
LATCH_EX,20,7,1,1
PREEMPTIVE_XE_TARGETINIT,24,7,3,0
PREEMPTIVE_XE_TARGETFINALIZE,20,6,2,0
PREEMPTIVE_OS_AUTHORIZATIONOPS,217,3,0,0
PREEMPTIVE_FILESIZEGET,97,3,0,0
LATCH_SH,8,2,0,0
PREEMPTIVE_OS_QUERYCONTEXTATTRIBUTES,93,1,0,0
DAC_INIT,1,1,1,0
BROKER_MASTERSTART,1,1,1,0
PREEMPTIVE_OS_SQLCLROPS,1,1,1,0
PREEMPTIVE_OS_DOMAINSERVICESOPS,1,1,1,0
PREEMPTIVE_OS_REVERTTOSELF,93,1,0,0
HADR_CLUSAPI_CALL,22,1,1,0
PREEMPTIVE_SERVICE_CONTROL_MANGER,5,1,0,0
PURVIEW_POLICY_SDK_PREEMPTIVE_SCHEDULING,1,0,0,0
PVS_PREALLOCATE,1,0,0,0
POPULATE_LOCK_ORDINALS,1,0,0,0
PREEMPTIVE_SNI_SOCKET_BIND,6,0,0,0
PREEMPTIVE_SNI_SOCKET_LISTEN,6,0,0,0
PREEMPTIVE_SP_SERVER_DIAGNOSTICS,1,0,0,0
PREEMPTIVE_SB_STOPENDPOINT,1,0,0,0
PREEMPTIVE_LOCKMONITOR,1,0,0,0
XTP_PREEMPTIVE_TASK,1,0,0,0
QDS_ASYNC_QUEUE,1,0,0,0
RECOVERY_MGR_LOCK,1,0,0,0
QDS_ASYNC_PERSIST_TASK_START,1,0,0,0
QDS_TASK_START,1,0,0,0
HADR_NOTIFICATION_DEQUEUE,1,0,0,0
PREEMPTIVE_OS_FINDFILE,2,0,0,0
PREEMPTIVE_OS_LIBRARYOPS,1,0,0,0
PREEMPTIVE_OS_GETPROCADDRESS,44,0,0,0
BROKER_TRANSMITTER,2,0,0,0
KSOURCE_WAKEUP,1,0,0,0
LOGBUFFER,2,0,0,0
CLR_MANUAL_EVENT,1,0,0,0
SNI_CRITICAL_SECTION,1,0,0,0
SNI_TASK_COMPLETION,1,0,0,0
LATCH_UP,1,0,0,0
SOS_SYNC_TASK_ENQUEUE_EVENT,2,0,0,0
SOS_DISPATCHER_MUTEX,9,0,0,0
PREEMPTIVE_XE_TIMERRUN,1,0,0,0
SLEEP_BPOOL_FLUSH,2,0,0,0
